GCODE,ESCROLL_CAT,GID,PENSION_TYPE,BRANCH_CODE,BRANCH_NAME,BRANCH_PIN,BRANCH_STATE,BIRTH_YEAR,SUBMITTED_STATUS,WAIVER_UPTO,SUBMISSION_MODE,VERIFICATION_TYPE,CERTIFICATE_SUBMISSION_DATE,PENSIONER_PINCODE,PENSIONER_DISTNAME,PENSIONER_STATENAME
CENTRAL,RAILWAY,RAILWAY_5,F,16122,RAILWAY STATION AGRA CANTT,282001,UTTAR PRADESH,1971,First_Year_Waiver,31-10-2025,,,,282002,Agra,UTTAR PRADESH
CENTRAL,RAILWAY,RAILWAY_3,F,07376,VSS NAGAR,751007,ODISHA,1953,First_Year_Waiver,31-10-2025,,,,754100,Cuttack,ODISHA
CENTRAL,CPAO,CIVIL_2,F,06596,B.S.F.CAMPUS(JALANDHAR),144006,PUNJAB,1952,First_Year_Waiver,31-10-2025,,,,144002,Jalandhar,PUNJAB
STATE,STATE,MADHYA_PRADESH_1,F,10348,HOSHANGABAD ROAD BHOPAL,462047,MADHYA PRADESH,1936,SUBMITTED,,PLC,,20-03-2025,474002,Gwalior,MADHYA PRADESH
CENTRAL,DEFENCE,DEFENCE_8,F,15134,HALDI,277402,UTTAR PRADESH,1967,First_Year_Waiver,31-10-2025,,,,277301,Ballia,UTTAR PRADESH
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,09289,BANGUR AVENUE(BANGUR TOWNSHIP),700055,WEST BENGAL,1949,First_Year_Waiver,31-10-2025,,,,700055,North Twenty Four Parganas,WEST BENGAL
STATE,STATE,CHATTISGARH_1,F,30243,TELEPHONE EX. ROAD BILASPUR,495001,CHATTISGARH,1957,SUBMITTED,,PLC,,12-11-2024,495001,Bilaspur,CHHATTISGARH
CENTRAL,RAILWAY,RAILWAY_3,F,00197,TITILAGARH,767033,ODISHA,1961,First_Year_Waiver,31-10-2025,,,,767033,Balangir,ODISHA
STATE,STATE,CHATTISGARH_1,F,18686,NELASNAR,494449,CHATTISGARH,1990,SUBMITTED,,PLC,,10-06-2025,494441,Bijapur,CHHATTISGARH
CENTRAL,CPAO,CIVIL_2,F,02948,JAGJIWAN NAGAR DHANBAD,826003,JHARKHAND,1955,SUBMITTED,,PLC,,06-05-2025,828109,Dhanbad,JHARKHAND
STATE,STATE,CHATTISGARH_1,F,10832,NAGRI,493778,CHATTISGARH,1970,SUBMITTED,,PLC,,03-07-2025,493778,Dhamtari,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06663,PENDRA V B,495119,CHATTISGARH,1982,SUBMITTED,,PLC,,03-07-2025,495119,Bilaspur,CHHATTISGARH
STATE,STATE,MADHYA_PRADESH_1,F,05855,B H E L PLANT AREA(BHOPAL),462022,MADHYA PRADESH,1945,SUBMITTED,,PLC,,23-07-2025,462041,Bhopal,MADHYA PRADESH
STATE,STATE,KARNATAKA_29,F,00857,KARWAR,581301,KARNATAKA,1945,SUBMITTED,,PLC,,15-03-2025,581301,Uttara Kannada,KARNATAKA
STATE,STATE,KARNATAKA_29,F,00857,KARWAR,581301,KARNATAKA,1945,SUBMITTED,,PLC,,15-03-2025,581301,Uttara Kannada,KARNATAKA
CENTRAL,RAILWAY,RAILWAY_4,F,00129,MALDA,732101,WEST BENGAL,1949,First_Year_Waiver,31-10-2025,,,,732101,Maldah,WEST BENGAL
CENTRAL,RAILWAY,RAILWAY_14,F,08167,KARIMEDU (MADURAI),625016,TAMIL NADU,1953,First_Year_Waiver,31-10-2025,,,,625016,Madurai,TAMIL NADU
STATE AUTONOMOUS BODIES,AUTONOMOUS,DVB_ETBF_1,F,00645,NEW COLONY GURGAON,122001,HARYANA,1961,SUBMITTED,,PLC,,09-05-2025,122001,Gurgaon,HARYANA
STATE,STATE,CHATTISGARH_1,F,00460,RAIGARH,496001,CHATTISGARH,1974,SUBMITTED,,DLC,,27-11-2024,496001,Raigarh,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,01331,RAMANUJGANJ,497220,CHATTISGARH,1961,PENDING,,,,,497220,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,30490,MANGLA (BILASPUR),495001,CHATTISGARH,1961,SUBMITTED,,PLC,,13-11-2024,495001,Bilaspur,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,08119,COLLECTORATE JAGDALPUR,494001,CHATTISGARH,1980,SUBMITTED,,PLC,,28-01-2025,494222,Bastar,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03713,TAPKARA,496227,CHATTISGARH,1956,SUBMITTED,,PLC,,19-11-2024,496001,Raigarh,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,12327,AMBIKAPUR CITY,497001,CHATTISGARH,1959,SUBMITTED,,PLC,,06-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,06262,COLLECTORATE BRANCH AMBIKAPUR,497001,CHATTISGARH,1967,SUBMITTED,,PLC,,04-11-2024,497001,Surguja,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,05925,BODLA,491995,CHATTISGARH,1994,SUBMITTED,,PLC,,03-12-2024,491995,Kabeerdham,CHHATTISGARH
STATE,STATE,CHATTISGARH_1,F,03713,TAPKARA,496227,CHATTISGARH,1955,SUBMITTED,,PLC,,21-11-2024,496227,Jashpur,CHHATTISGARH
STATE,STATE,BIHAR_1,F,03616,BIKRAMGANJ,802212,BIHAR,1956,SUBMITTED,,PLC,,04-02-2025,802226,Rohtas,BIHAR
CENTRAL,CPAO,CIVIL_2,F,11849,MAIN BAZAR SANTOKHGARH,174301,HIMACHAL PRADESH,1975,SUBMITTED,,PLC,,05-03-2025,176601,Una,HIMACHAL PRADESH
STATE,STATE,JHARKHAND_1,F,03009,SULTANGANJ,813213,BIHAR,1963,SUBMITTED,,PLC,,29-01-2025,813213,Bhagalpur,BIHAR
STATE,STATE,CHATTISGARH_1,F,03536,KANSABEL,496223,CHATTISGARH,1978,SUBMITTED,,PLC,,11-03-2025,496223,Jashpur,CHHATTISGARH
CENTRAL,DEFENCE,DEFENCE_8,F,11596,PATIVALI DIST-KASGANJ,207243,UTTAR PRADESH,1984,First_Year_Waiver,31-10-2025,,,,207243,Kanshiram Nagar,UTTAR PRADESH
CENTRAL,CPAO,CIVIL_2,F,09589,ACB CHEMMANVILAI,629172,TAMIL NADU,1980,First_Year_Waiver,31-10-2025,,,,629154,Kanniyakumari,TAMIL NADU
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,06152,CITY CENTRE DURGAPUR,713216,WEST BENGAL,1964,First_Year_Waiver,31-10-2025,,,,713216,Barddhaman,WEST BENGAL
STATE,STATE,ASSAM_1,F,00028,BARPETA,781301,ASSAM,1975,SUBMITTED,,PLC,,28-03-2025,781309,Barpeta,ASSAM
STATE,STATE,ORISSA_7,F,00112,KENDRAPARA,754211,ODISHA,1940,SUBMITTED,,PLC,,14-03-2025,754250,Kendrapara,ODISHA
CENTRAL,CPAO,CIVIL_2,F,20042,PARANDA ROAD BHOOM,431504,MAHARASHTRA,1992,First_Year_Waiver,31-10-2025,,,,413502,Osmanabad,MAHARASHTRA
CENTRAL,RAILWAY,RAILWAY_6,F,70957,CHANDANAPPALLY,689648,KERALA,1969,First_Year_Waiver,31-10-2025,,,,689648,Pathanamthitta,KERALA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,14047,BOARD GHAR (SODEPUR ROAD),700110,WEST BENGAL,1949,First_Year_Waiver,31-10-2025,,,,700110,North Twenty Four Parganas,WEST BENGAL
STATE,STATE,PUNJAB_1,F,11900,KHUIAN SARWAR,152116,PUNJAB,1978,SUBMITTED,,PLC,,25-04-2025,152132,Firozpur,PUNJAB
STATE,STATE,ASSAM_1,F,11621,DHIRENPARA BRANCH,781025,ASSAM,1967,SUBMITTED,,PLC,,22-05-2025,781025,Kamrup Metropolitan,ASSAM
STATE,STATE,KARNATAKA_6,F,13027,NAUBAD BIDAR,585401,KARNATAKA,1977,SUBMITTED,,PLC,,25-02-2025,585436,Bidar,KARNATAKA
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,03502,SAINIK SCHOOL TELAIYA,825413,JHARKHAND,1948,First_Year_Waiver,31-10-2025,,,,825413,Kodarma,JHARKHAND
CENTRAL,CPAO,CIVIL_2,F,16601,SONU GHAT DEORIA,274001,UTTAR PRADESH,1976,First_Year_Waiver,31-10-2025,,,,274501,Deoria,UTTAR PRADESH
STATE,STATE,JHARKHAND_1,F,06717,MAHARAJGANJ,828109,JHARKHAND,1981,SUBMITTED,,PLC,,02-04-2025,828109,Dhanbad,JHARKHAND
STATE,STATE,ORISSA_11,F,00007,ANGUL,759122,ODISHA,1950,SUBMITTED,,PLC,,19-04-2025,759132,Anugul,ODISHA
STATE,STATE,MADHYA_PRADESH_1,F,00422,ACB MANDSAUR,458001,MADHYA PRADESH,1973,SUBMITTED,,PLC,,22-04-2025,458002,Mandsaur,MADHYA PRADESH
STATE,STATE,MADHYA_PRADESH_1,F,00280,NOWGONG,471201,MADHYA PRADESH,1955,SUBMITTED,,PLC,,28-05-2025,471201,Chhatarpur,MADHYA PRADESH
CENTRAL,RAILWAY,RAILWAY_14,F,03688,JOLARPETTAI,635851,TAMIL NADU,1985,First_Year_Waiver,31-10-2025,,,,635851,Vellore,TAMIL NADU
CENTRAL,RAILWAY,RAILWAY_12,F,03943,ACB JAGATSINGHPUR,754103,ODISHA,1947,First_Year_Waiver,31-10-2025,,,,754103,Jagatsinghapur,ODISHA
STATE AUTONOMOUS BODIES,AUTONOMOUS,DVB_ETBF_1,F,17025,WEST PATEL NAGAR,110008,NCT OF DELHI,1948,SUBMITTED,,PLC,,29-11-2024,110008,West,NCT OF DELHI
STATE AUTONOMOUS BODIES,AUTONOMOUS,DVB_ETBF_1,F,17025,WEST PATEL NAGAR,110008,NCT OF DELHI,1948,SUBMITTED,,PLC,,29-11-2024,110008,West,NCT OF DELHI
STATE,STATE,ASSAM_1,F,07388,BISHNUPUR,783390,ASSAM,1972,SUBMITTED,,PLC,,27-03-2025,783390,Chirang,ASSAM
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,14525,BORAL,700084,WEST BENGAL,1955,First_Year_Waiver,31-10-2025,,,,700084,Kolkata,WEST BENGAL
CENTRAL,CPAO,CIVIL_2,F,06623,JAWALAHERI VILLAGE,110063,NCT OF DELHI,1981,First_Year_Waiver,31-10-2025,,,,110063,West,NCT OF DELHI
CENTRAL,CPAO,CIVIL_2,F,06623,JAWALAHERI VILLAGE,110063,NCT OF DELHI,1981,First_Year_Waiver,31-10-2025,,,,110063,West,NCT OF DELHI
CENTRAL,RAILWAY,RAILWAY_11,F,09642,ARDA,768202,ODISHA,1949,First_Year_Waiver,31-10-2025,,,,768202,Jharsuguda,ODISHA
STATE,STATE,ORISSA_7,F,03341,ORI UNIV AGRI AND TECH CAMP,751003,ODISHA,1949,SUBMITTED,,PLC,,19-04-2025,751019,Khordha,ODISHA
CENTRAL,RAILWAY,RAILWAY_4,F,03210,JAMALPUR(DIST.MUNGER),811214,BIHAR,1946,SUBMITTED,,PLC,,11-11-2024,811214,Munger,BIHAR
STATE,STATE,ORISSA_7,F,00055,CHATRAPUR,761020,ODISHA,1952,SUBMITTED,,PLC,,21-02-2025,761020,Ganjam,ODISHA
CENTRAL,CPAO,CIVIL_2,F,61654,HINGNA P SEGMENT,440016,MAHARASHTRA,1981,First_Year_Waiver,31-10-2025,,,,440016,Nagpur,MAHARASHTRA
CENTRAL,CPAO,CIVIL_2,F,01174,VILE PARLE (EAST) MUMBAI,400057,MAHARASHTRA,1945,SUBMITTED,,PLC,,27-11-2024,400099,Mumbai Suburban,MAHARASHTRA
CENTRAL,CPAO,CIVIL_39,F,10596,HARIPAD TOWN,690514,KERALA,1985,First_Year_Waiver,31-10-2025,,,,690512,Alappuzha,KERALA
STATE,STATE,MADHYA_PRADESH_1,F,30288,NANAKHEDA UJJAIN,456010,MADHYA PRADESH,1964,SUBMITTED,,PLC,,25-03-2025,456010,Ujjain,MADHYA PRADESH
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,02925,CHANDRAPURA,828403,JHARKHAND,1963,First_Year_Waiver,31-10-2025,,,,825303,Bokaro,JHARKHAND
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,00045,BOKARO THERMAL,829107,JHARKHAND,1959,First_Year_Waiver,31-10-2025,,,,829107,Bokaro,JHARKHAND
CENTRAL AUTONOMOUS BODIES,AUTONOMOUS,DVC_2,F,11531,BRAHMPUR BRANCH,700096,WEST BENGAL,1952,First_Year_Waiver,31-10-2025,,,,700096,Kolkata,WEST BENGAL
STATE AUTONOMOUS BODIES,AUTONOMOUS,MPUAD_1,F,00408,KHANDWA,450001,MADHYA PRADESH,1953,SUBMITTED,,PLC,,24-01-2025,450001,East Nimar,MADHYA PRADESH
CENTRAL,CPAO,CIVIL_39,F,61317,INDIRA GANDHI NAGAR JAIPUR,302017,RAJASTHAN,1988,First_Year_Waiver,31-10-2025,,,,321615,Bharatpur,RAJASTHAN
STATE,STATE,ORISSA_7,F,02125,SIMULIA,756126,ODISHA,1954,SUBMITTED,,PLC,,20-03-2025,756126,Baleshwar,ODISHA
STATE,STATE,ORISSA_7,F,06898,BAMUNIGAON,762021,ODISHA,1960,SUBMITTED,,PLC,,07-04-2025,762021,Kandhamal,ODISHA
STATE,STATE,CHATTISGARH_1,F,00320,BALOD,491226,CHATTISGARH,1990,SUBMITTED,,PLC,,30-05-2025,491222,Durg,CHHATTISGARH
STATE,STATE,ORISSA_11,F,12057,MANGALPUR,755011,ODISHA,1953,SUBMITTED,,PLC,,13-05-2025,755011,Jajapur,ODISHA
CENTRAL,CPAO,CIVIL_2,F,06509,EKTIASAL,734001,WEST BENGAL,1974,First_Year_Waiver,31-10-2025,,,,734001,Jalpaiguri,WEST BENGAL
STATE,STATE,MADHYA_PRADESH_1,F,09256,RAJMILAN,486886,MADHYA PRADESH,1966,SUBMITTED,,PLC,,22-02-2025,486886,Sidhi,MADHYA PRADESH
STATE,STATE,ASSAM_1,F,11618,GOALPARA BAZAR,783101,ASSAM,1976,SUBMITTED,,PLC,,18-03-2025,783125,Goalpara,ASSAM
STATE,STATE,ORISSA_11,F,00222,BANKI,754008,ODISHA,1948,SUBMITTED,,PLC,,28-02-2025,754009,Cuttack,ODISHA
STATE,STATE,BIHAR_16,F,00153,PATNA SECRETARIAT,800015,BIHAR,1959,SUBMITTED,,PLC,,28-02-2025,800002,Patna,BIHAR
STATE,STATE,ASSAM_1,F,05243,MUSHALPUR,781372,ASSAM,1978,SUBMITTED,,PLC,,03-04-2025,781372,Baksa,ASSAM
STATE,STATE,MADHYA_PRADESH_1,F,02873,LAVKUSH NAGAR,471515,MADHYA PRADESH,1973,SUBMITTED,,PLC,,24-04-2025,471515,Chhatarpur,MADHYA PRADESH
CENTRAL,DEFENCE,DEFENCE_8,F,02087,MOLLARPUR,731216,WEST BENGAL,1951,First_Year_Waiver,31-10-2025,,,,731216,Birbhum,WEST BENGAL
